id,place_name,address,p_type,sub_type,contact_number,current_status,website,latitude,longitude,created_at,updated_at,action,bkoi_addr,rev_data
33397,Cafe Misr El Gedida,"Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Cafe,,Open ⋅ Closes 3 AM,,24.6715584,46.7342557,40:47.0,40:47.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33423,MERAS International Investment Company,"Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 11461, Saudi Arabia",Office,Financial Institutions,,Open ⋅ Closes 5 PM,meras-ksa.com,24.6695502,46.728138,50:18.0,50:18.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33426,Dolce Coffee and  Chocolate,"صلاح الدين, Al Malaz, Riyadh 12627, Saudi Arabia",Food,Cafe,,,smomedia.com,24.6689503,46.7290099,54:00.0,54:00.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33425,Masraf Al Rajhi,"Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 12627, Saudi Arabia",Bank,Bank Branch,,Open ⋅ Closes 4:30 PM,alrajhibank.com.sa,24.6689794,46.728964,51:55.0,51:55.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33427,Kiba,"MP9H+CHJ, Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 12629, Saudi Arabia",Office,Construction Company,,Open ⋅ Closes 5 PM,34.90.216.67,24.668588,46.7289016,54:36.0,54:36.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33428,SEIBA HOTEl MALAz,"Al Malaz, Riyadh 12627, Saudi Arabia",Hotel,4 Star,,,enala.sa,24.6684981,46.7293288,54:59.0,54:59.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33435,Nesto Hypermarket Malaz,"Al Zafaran St, Al Malaz, Riyadh 12836, Saudi Arabia",Commercial,Market,,Open ⋅ Closes 2 AM,nestooffers.com,24.6699905,46.738404,02:40.0,02:40.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33429,Space Arabia Company LLC,"4147-4169 Khalid Ibn Junadah, Al Malaz, Riyadh 12627, Saudi Arabia",Office,Interior Design,,Open ⋅ Closes 5:30 PM,spacearabia.sa,24.6676282,46.7292046,55:26.0,55:26.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33436,Rasimah Pharmacy,"7794 Arwa Bint Abd Al Mouttaleb, Al Malaz, Riyadh 12841, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 2 AM,,24.6555902,46.7440665,03:05.0,03:05.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33437,Danat Al Sham,"حي، 7728 Zeid Ibn Al Khattab, Al Malaz, Riyadh 12841, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 1:30 AM,,24.6550776,46.7440065,03:22.0,03:22.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33430,Nalko li Ta'jeer Al Sayyarat,"الإدارة العامة, Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, Riyadh 12629, Saudi Arabia",Shop,Car Rental,,Open ⋅ Closes 11 PM,nlco.sa,24.6675078,46.7279557,56:38.0,56:38.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33431,Al Muhaidib lil Wahdat al Sakaniyah,4258 طريق صلاح الدين الأيوبي، 7518 Saudi Arabia,Hotel,3 Star,,,ewaahotels.com,24.6669361,46.7303296,58:10.0,58:10.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33432,Creative Rokz,"4234 Ibn Zaidoun St, Al Malaz, Riyadh 12629, Saudi Arabia",Office,Corporate Office,+966 11 291 2314,Open ⋅ Closes 7 PM,creativerokz.com,24.6665253,46.730079,58:25.0,58:25.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33433,Sulaiman Al Dikhayyel Masjid,"4069 Al Nuwairy St, Al Malaz, Riyadh 12629, Saudi Arabia",Religious Place,Masjid,,,moia.gov.sa,24.6659928,46.7290438,58:42.0,58:42.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33434,Al Kenani Advocates & Legal Consultants,"Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, Riyadh 12629, Saudi Arabia",Office,Law Firm,+966 50 008 5082,Open ⋅ Closes 5 PM,alkenanilaw.com,24.6655528,46.7281764,59:07.0,59:07.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33438,Ministry of Finance,"7HP8MP39+C2, طريق عمر بن الخطاب،, Al Malaz, Riyadh 12641, Saudi Arabia",Government,Ministry,,Closed ⋅ Opens 8 AM Mon,mof.gov.sa,24.6535625,46.7175625,04:15.0,04:15.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33441,Al Maqbara,"MP29+PR6, Al Malaz, Riyadh 12641, Saudi Arabia",Religious Place,Graveyard,,,,24.6517875,46.7195217,07:02.0,07:02.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33439,Vision Realization Office,"8639, 2219, Al Malaz, Riyadh 12641, Saudi Arabia",Government,Government Office,,,mof.gov.sa,24.6538052,46.7176009,04:40.0,04:40.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33442,Sath Al Malaz,"Omar Ibn Al Khattab Rd, Al Malaz, Riyadh 12641, Saudi Arabia",Transportation,Transport Agency,+966 57 520 4049,Open 24 hours,,24.6502786,46.7203223,07:51.0,07:51.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33443,Aldrees,"Omar Ibn Al Khattab Rd, Al Malaz, Riyadh 12641, Saudi Arabia",Fuel,Oil,,Open 24 hours,aldrees.com,24.6494726,46.723857,08:37.0,08:37.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33440,Dunkin,"Al Malaz, REMA8424, 8424 Bilal Ibn Salim, 2341, Al Malaz District, Riyadh 12641, Saudi Arabia",Food,Cafe,,Closes soon ⋅ 4 PM ⋅ Opens 6 AM Mon,dunkinksa.com,24.6518214,46.7185614,05:25.0,05:25.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33444,Idarat Al Mashari' Al Mu'assasah Al Ammah lil Ta'leem Al Taqni wal Mahani,"JPXH+C3W, Al Malaz, Riyadh 12644, Saudi Arabia",Government,Government Office,,,tvtc.gov.sa,24.6486145,46.7277154,10:32.0,10:32.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33445,Al-Idarah Al Ammah lil Marafiq wal Siyanah bil Malaz,3280 طريق عمر بن الخطاب، الملز، الرياض 12644 8088، Saudi Arabia,Government,Government Office,,,,24.6487502,46.7278016,08:57.0,08:57.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33449,Al Quwat Al Khasah lil Amn wal Himayah,"REMA3690، 8114 Omar Ibn Al Khattab Rd, Al Sina'iyah، 3690, Riyadh 12644, Saudi Arabia",Government,Government Office,,,,24.6491814,46.7319576,12:01.0,12:01.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33446,Nisma Al Bahja Contracting,"3403 Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, Riyadh 12644, Saudi Arabia",Office,Construction Company,+966 11 229 8108,Open ⋅ Closes 5 PM,,24.6485296,46.7287743,09:35.0,09:35.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33447,Autopro,"JPXH+GMW, Al Malaz, Riyadh 12644, Saudi Arabia",Transportation,Transport Agency,,,,24.6488717,46.7292017,10:03.0,10:03.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33448,RIYAT MITSUBISHI ARAC BAKIM SERVISI,"8245 Umm Al Ala Bint Al Hafidh, 3517, Al Malaz, 8169، Riyadh 12644, Saudi Arabia",Office,Corporate Office,,Open ⋅ Closes 4:30 PM,,24.6501907,46.7299859,11:08.0,11:08.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33450,Mahatat Abar Al Dhahab li Khadamat Al Sayarat,"8384 الظهران الفرعي, Al Malaz, 3905، Riyadh 12644, Saudi Arabia",Fuel,Oil,,Open ⋅ Closes 11:30 PM,,24.6513126,46.7340361,14:11.0,14:11.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33451,Al Sharikah Al Saudiyyah lil Kahraba' A'mal Al Mintaqah Al Wusta,"8576 الظهران، 3804, Al Malaz, Riyadh 12642, Saudi Arabia",Utility,Power Station,+966 9200 01100,Open 24 hours,,24.652926,46.7333936,15:58.0,15:58.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33452,Al Dharan 101,"Al Malaz, Riyadh 12642, Saudi Arabia",Transportation,Bus Stand,,,,24.6532261,46.7344754,16:33.0,16:33.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33453,MANS SAUDI COMPANY FOR TRADING,"8786 الظهران، 3966, Al Malaz, Riyadh 12642, Saudi Arabia",Construction,Hardware,+966 11 478 0352,,,24.6550425,46.7347036,18:26.0,18:26.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33454,Masjid Al Malaz Al Janoubi,"3852 Abi Bakr Al Harani, Al Malaz Riyadh 12642 8731 Abi Bakr Al Harani, 8731, Al Malaz, Riyadh 12642, Saudi Arabia",Religious Place,Masjid,,,,24.6545261,46.7340317,19:22.0,19:22.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33455,Makhbaz Tamees,"Prince Fahad Ibn Ibrahim Al Saud St Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, Riyadh 12642, Saudi Arabia",Food,Bakery,,Open ⋅ Closes 11 PM,,24.6562224,46.7306551,20:33.0,20:33.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33456,POOL TAWA,"MP4J+F6J, Al Malaz, Riyadh 12642, Saudi Arabia",Food,Restaurant,,,,24.6562047,46.7305281,22:41.0,22:41.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33457,Sign Blocks,"Al manaka, Al Malaz, Riyadh 12642, Saudi Arabia",Office,Advertising Agency,,Open 24 hours,advsignblocks.com,24.6571248,46.7309264,23:00.0,23:00.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
